Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
OMEGA JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,18.6,18.6,23.3,5,2,2,0,1,0,0,93,0,0,0,0,0,0,2,3,0,0,EASTERN,EMBU,MBEERE,MWEA,MAKIMA,GACHOKA,"(-0.777453, 37.587653)",
KAGA ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,INTEGRATED,69,23,17.3,3,1,3,0,1,0,0,69,0,0,0,0,0,0,1,0,0,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KINOO,KABETE,"(-1.25109, 36.69185)",
VARUN DEV ACA PRY SCH,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,7,2.8,4.7,5,1,2,0,1,0,0,14,0,0,0,0,0,0,1,1,0,0,COAST,MOMBASA,MOMBASA,ISLAND,GANJONI,KISAUNI,"(-4.06757, 39.67603)",
GOODSTART PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,INTEGRATED,32,44.8,56,5,2,2,0,1,0,0,224,0,0,0,0,0,7,0,0,0,2,WESTERN,KAKAMEGA,BUTERE/MUMIAS,BUTERE,SOUTH MARAMA,BUTERE,"(0.17782605, 34.47886862)",
ST. PAUL THOMAS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,INTEGRATED,13.9,24.1,11,11,24,0,0,15,0,0,265,0,0,0,0,17,2,0,0,18,18,CENTRAL,MURANG'A,MARAGUA,MARAGUA,ICHAGAKI,MARAGWA,"(-0.825428, 37.161946)",
AKILI COMPLEX PRI SCH,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,BOARDING ONLY,INTEGRATED,15.3,23,0,4,0,0,0,0,49,43,92,0,0,0,0,0,0,3,3,1,1,NAIROBI,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA,"(-1.307718, 36.788155)",
ANAJALI PRI SCH,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,BOARDING ONLY,INTEGRATED,26.3,23.9,87.7,11,2,1,0,1,0,0,263,0,0,0,0,7,3,0,0,0,2,NAIROBI,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,LANGATA,"(-1.316309, 36.778494)",
NEW HIGHLIGHT PRI SCH,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,23.2,27.8,30.2,25,9,14,0,4,351,344,695,0,0,0,0,0,0,9,21,4,10,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,UTHIRU/RUTHIMITU,DAGORETTI,"(-1.279361, 36.696929)",
BENSESA ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,NGO/CBO,MIXED,BOARDING ONLY,INTEGRATED,18.9,29.7,52,7,2,2,0,1,94,114,208,0,0,0,0,0,0,5,6,1,1,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,RIRUTA,DAGORETTI,"(-1.28296, 36.73345)",
FOUNTAIN OF HOPE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,INTEGRATED,10.6,9.3,6.7,8,5,6,0,2,0,0,74,0,0,0,0,3,4,0,0,2,2,CENTRAL,MURANG'A,MARAGUA,KANDARA,KAGUNDUINI,KANDARA,"(-0.878351, 37.027674)",
DOALNARA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,9.2,11,13.8,5,2,2,0,2,0,0,55,0,0,0,0,0,0,2,4,25,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,KWANZA,KWANZA,KWANZA,"(1.137705, 34.979879)",
ST. ANNE'S ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,22.3,30.3,60.6,14,3,4,0,2,0,0,424,0,0,0,0,0,0,7,12,3,1,COAST,MOMBASA,MOMBASA,KISAUNI,BAMBURI,KISAUNI,"(-3.97486, 39.71219)",
VICTORIA ACADEMY PRY SCH,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,27.7,34.6,46.2,8,3,3,0,2,0,0,277,0,0,0,0,8,2,0,0,2,1,NYANZA,HOMA BAY,HOMA BAY,ASEGO,TOWNSHIP,RANGWE,"(-0.522507, 34.469082)",
MULLY'S CHILDREN FAMILY HOME PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,14.5,20,7,8,11,12,0,6,0,0,160,0,0,0,0,0,0,6,5,5,10,EASTERN,MACHAKOS,MACHAKOS,YATTA,NDALANI,YATTA,"(-1.084484, 37.467831)",
MERCURY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,INTEGRATED,13.8,17.3,27.6,8,2,3,0,2,72,66,138,0,0,0,0,0,0,5,5,1,1,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,EMBAKASI,"(-1.267603, 36.916032)",
TRAVELLERS OASIS CENTRE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL/ORGANIZATION,MIXED,BOARDING ONLY,INTEGRATED,6.7,2.5,2,8,4,6,0,2,0,0,20,0,0,0,0,0,0,3,0,0,0,EASTERN,MAKUENI,MAKUENI,KASIKEU,KASIKEU,KILOME,"(-2.01791, 37.38022)",
