Age,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Total
0,145067,58976,255863,237444,141124,94420,83901,24679,117651,1159125
1,146346,59113,245540,237346,134335,91426,81181,24457,114638,1134382
2,155462,59369,241270,242731,135357,94473,81729,24753,115388,1150532
3,159748,60184,231135,242335,135501,91901,80449,24190,110466,1135910
4,160593,58254,217611,238278,133846,89339,77087,23839,106657,1105503
5,158683,56531,203198,225549,128869,86155,71620,23881,101491,1055976
6,156469,56087,191937,225627,127300,86967,71920,23608,96121,1036036
7,144793,52620,178570,205009,114223,79547,65875,22889,91136,954662
8,132141,49081,168285,193221,108056,75908,62078,22288,87008,898067
9,123906,48203,163512,193122,105516,74194,60811,21341,84406,875010
10,127771,49095,168115,204290,110829,79544,63005,22030,89546,914225
11,135046,49802,168628,211441,116278,81932,63692,22981,90406,940205
12,136437,46383,156883,204349,111274,76619,58440,21436,85444,897266
13,139545,46379,156540,206326,114298,78007,57620,21253,85311,905279
14,145483,48839,161846,212450,118206,80245,60956,21748,88136,937911
15,153317,51346,167629,227005,124232,83594,62504,21666,89943,981236
16,151338,51159,169408,223250,127117,83743,62251,21844,91378,981488
17,151387,51965,177242,226954,130096,87390,63953,21874,94299,1005158
18,143864,53258,191186,219854,124675,84945,62896,21465,98868,1001011
19,140609,55170,219123,222472,121214,84608,64929,20827,105633,1034584
20,137936,58461,256815,232767,121750,86775,68896,21885,114202,1099486
21,132956,59929,280609,233872,119067,89991,72280,21733,120817,1131254
22,116779,58055,273050,213234,108462,84589,68991,20774,116132,1060066
23,113723,54655,280543,214085,103538,84886,68346,20512,116493,1056779
24,106978,51379,283607,208431,94748,81300,64879,19727,115907,1026956
25,105767,51347,296976,208646,95607,83573,66517,20003,121354,1049790
26,102697,51478,303976,209079,96128,82031,66848,20511,122273,1055022
27,95137,50406,295247,191976,87352,77334,64302,19789,117302,998847
28,95175,49841,295638,189537,81610,75947,65191,20233,118208,991381
29,91531,48596,289009,181690,81191,74210,64804,19836,113411,964278
30,81920,44383,267832,158636,71494,64365,56663,18273,105368,868934
31,85201,45058,265500,157653,74512,65618,59209,18378,104251,875380
32,77847,40916,244490,150379,69155,60498,54782,17276,94565,809908
33,70185,38144,223597,129280,63419,52862,50175,16146,87742,731549
34,73434,37240,223353,133283,65259,54220,50853,15923,89675,743239
35,75383,36689,218313,132812,62072,53597,48702,15242,89544,732352
36,73193,36858,211775,129118,64523,54481,49359,15145,89069,723521
37,69543,34743,197965,118625,58211,50015,46375,14712,84349,674539
38,68867,35148,193597,116022,57321,48876,45955,14926,85207,665919
39,72418,35541,190371,116039,58113,48939,46348,15196,88470,671435
40,62751,32375,173092,103399,47007,42771,39894,14073,82843,598205
41,72877,34750,178171,107668,57708,48356,45566,14606,83171,642873
42,67525,32943,169005,105725,51437,45708,42225,14085,81329,609983
43,68110,32633,163063,98231,55129,43833,41728,13677,77798,594203
44,56073,28677,136523,84078,44442,36171,35512,11983,69895,503355
45,59326,28964,140810,90823,45068,38589,36601,12415,72159,524754
46,62245,29290,138544,91420,48418,39228,37408,12441,70431,529425
47,62322,30298,139165,92715,47974,39550,37948,12237,69799,532009
48,63905,29902,136008,91995,48814,39676,38503,12691,68807,530299
49,60809,28536,128566,87685,46041,36796,36659,12034,66671,503797
50,54711,24624,117806,79161,37642,30818,31823,11176,63718,451480
51,66742,27576,121413,82388,43672,33823,35534,11457,62681,485284
52,56662,24884,111583,78462,37148,30695,31627,10558,57941,439560
53,60465,25289,111370,76749,39019,32082,32334,10956,56647,444912
54,52226,22957,100680,67637,33514,29263,29249,9831,51699,397054
55,50999,21837,95593,68214,33541,27597,27704,9394,48950,383829
56,47302,21207,91496,66198,31083,26623,26781,9156,47439,367286
57,46789,20020,86004,63648,30951,25379,24920,8479,44779,350969
58,46958,19614,84223,63273,31107,24468,24852,8626,43871,346991
59,50357,19744,81085,64238,31914,25295,24322,8320,43060,348334
60,38862,16426,67714,56947,24535,20928,19486,7274,39207,291377
61,47425,17542,67967,60400,30523,21916,21455,7431,37291,311948
62,37874,15158,60501,58062,25197,17909,18299,6582,35034,274616
63,38773,15094,59594,50363,25276,17559,18219,6437,34787,266103
64,33696,13813,53898,45554,23416,16130,17079,5898,32239,241723
65,31612,12193,47897,40544,21364,13828,15869,5374,29553,218233
66,29621,11206,41338,34215,20141,12460,14647,4969,26102,194699
67,25070,10815,39412,32914,19820,12329,14536,4661,24942,184499
68,25729,9594,36774,32848,19311,12678,13163,4400,22701,177198
69,28438,10294,36207,35151,20387,12921,13477,4387,21914,183176
70,24944,8406,31473,30152,16606,10817,10742,3759,20506,157405
71,41776,9666,32565,33982,23683,13212,12833,4105,20680,192502
72,21327,7930,29072,28340,17721,9971,10274,3375,18645,146656
73,20573,7401,26158,24276,16030,9638,9249,3160,17261,133746
74,17329,6680,23641,21071,13618,8125,8612,2844,16102,118022
75,19577,6172,22662,21534,15912,8320,8407,2696,15183,120465
76,16890,5255,19004,17459,11976,6381,7298,2404,12684,99352
77,14649,5218,16742,16434,12315,6211,6328,2146,11311,91355
78,15167,6808,16157,16111,9175,5148,6603,2452,10705,88326
79,14952,4005,14791,14839,10615,5154,5580,1775,10057,81768
80,11673,3508,13051,13306,8872,4811,4580,1589,9088,70478
81,17008,3997,13205,17477,15802,7396,5660,1582,8589,90717
82,9443,3141,11178,12729,9999,4523,4152,1252,7206,63622
83,8661,2799,9686,10140,7435,3780,3799,1116,6138,53555
84,6942,2310,8340,8474,5787,3040,3291,948,5414,44544
85,6239,1993,7192,7719,5648,2642,2919,815,4590,39757
86,5523,1777,6262,6562,4628,2283,3437,834,3987,35294
87,4640,1552,5324,5519,4773,2046,1871,652,3514,29891
88,3495,1033,4261,3738,2676,1470,1529,505,2851,21559
89,3394,1048,3676,3645,2801,1349,1397,478,2445,20233
90,3383,904,3178,3387,3382,1546,1402,403,1976,19560
91,3682,1042,2913,3860,5119,2005,1290,395,1588,21894
92,1681,717,1985,2070,2653,1183,898,285,1038,12508
93,2956,955,2051,2388,2549,1238,1197,275,969,14578
94,662,302,879,810,915,440,399,152,658,5218
95,634,248,766,787,916,342,378,111,514,4695
96,612,295,636,654,780,298,306,104,480,4164
97,688,378,673,856,1263,479,382,108,348,5175
98,398,129,459,559,554,246,197,52,243,2837
99,397,152,402,456,614,211,174,77,221,2705
100,280,113,282,306,434,162,121,45,160,1904
101,438,130,272,371,631,216,131,60,151,2400
102,130,73,227,302,347,108,83,57,183,1509
103,130,54,186,208,157,76,74,38,177,1100
104,92,49,206,186,121,76,66,45,177,1017
105,78,53,168,234,135,64,68,27,145,971
106,94,44,180,202,95,73,69,31,148,937
107,71,53,170,201,150,60,61,47,159,972
108,112,49,161,203,74,59,61,44,159,922
109,88,69,191,230,119,72,72,49,165,1056
110,109,52,227,205,121,71,87,43,188,1103
111,114,64,238,222,135,112,58,30,150,1124
112,18,2,15,21,17,7,5,1,10,98
113,10,9,12,15,4,3,1,1,5,60
114,9,2,10,16,4,5,5,4,6,63
115,8,7,17,26,14,6,4,1,11,94
116,10,2,6,19,7,6,4,-,3,56
117,12,-,8,21,2,12,3,1,6,65
118,4,1,7,11,1,2,1,1,7,37
119,18,2,11,14,3,-,1,1,7,58
120,3,3,5,30,6,2,1,-,6,57
Total,6562053,2745590,12272263,10267300,5404868,4039939,3509953,1145861,5822734,51770560
